city,state,state_code,slug,commissionerate,zone,local_areas,key_industries,intro_note,nearby_cities,company_note,gst_note
Mumbai,Maharashtra,IN-MH,mumbai,"CGST Commissionerate, Mumbai (Central / East / West)",Mumbai Zone,Nariman Point|Bandra Kurla Complex (BKC)|Andheri MIDC|Dharavi|Kurla|Powai|Lower Parel|Navi Mumbai,"Financial services and banking (BSE, NSE)|Import-export via JNPT|Bollywood and media production|Textiles and garments|IT and tech startups (BKC, Powai)","India's financial capital and largest commercial city, home to BSE, NSE, India's biggest port at JNPT, and a thriving startup ecosystem.",Thane|Pune|Navi Mumbai|Nashik,"Mumbai leads India in MCA company registrations — home to the highest density of listed companies, holding companies, and financial entities.","Mumbai's diverse economy — spanning BFSI, media, textiles, logistics, and retail — means every business category has distinct GST implications."
Delhi,Delhi,IN-DL,delhi,"CGST Commissionerate, Delhi (East / West / North / South)",Delhi Zone,Connaught Place|Chandni Chowk|Karol Bagh|Nehru Place|Okhla Industrial Area|Lajpat Nagar|Rohini|Dwarka,"Wholesale and retail trading (Chandni Chowk)|IT hardware and software (Nehru Place)|Garments and textiles (Gandhi Nagar, Lajpat Nagar)|Import-export via ICD Tughlakabad|Government contracting and services","India's national capital and one of Asia's largest wholesale trading hubs, with massive markets in garments, electronics, spices, and general merchandise.",Noida|Gurugram|Ghaziabad|Faridabad,"Delhi is India's second-largest company registration hub, with a high density of trading companies, import-export firms, and government-facing entities.",Delhi's unique position as both a state and a union territory gives it dual GST administration — CGST by central government and SGST by Delhi Trade and Taxes Department.
Bangalore,Karnataka,IN-KA,bangalore,"CGST Commissionerate, Bangalore",Bangalore Zone,Whitefield|Electronic City|Koramangala|Indiranagar|MG Road|HSR Layout|Yeshwanthpur Industrial Area|Peenya,"IT and software services (Electronic City, Whitefield)|Aerospace and defence (HAL)|Biotech and pharma|Startups and VC-backed companies (Koramangala, HSR Layout)|Garments and textiles","India's Silicon Valley and the country's startup capital — home to the highest number of IT companies, unicorns, and DPIIT-registered startups.",Mysuru|Hubli|Mangaluru|Chennai,"Bangalore is India's top city for tech startup incorporation — DPIIT recognition, ESOPs, and foreign investment structuring are high-frequency needs here.",Bangalore's IT sector makes service export compliance and LUT filing critical. Most Bangalore companies need GST registration from day one for B2B client requirements.
Chennai,Tamil Nadu,IN-TN,chennai,"CGST Commissionerate, Chennai",Chennai Zone,Anna Nagar|T. Nagar|Guindy Industrial Estate|Ambattur|Perungudi IT Park|Sholinganallur|Porur|Old Mahabalipuram Road (OMR),"Automobile manufacturing (Ford, Hyundai, BMW plants)|IT services (OMR tech corridor)|Leather and leather goods export|Petrochemicals (Ennore)|Ports and shipping","The Detroit of India — Chennai is India's automobile capital and a major IT and manufacturing export hub, with one of the country's busiest ports.",Coimbatore|Madurai|Vellore|Bengaluru,"Chennai sees high company incorporation in auto ancillaries, IT services, and export-oriented manufacturing — with frequent SEZ and EOU compliance needs.",Chennai's auto sector involves complex GST supply chains across OEMs and ancillaries. Export-oriented companies need zero-rated supply compliance and LUT filing.
Hyderabad,Telangana,IN-TG,hyderabad,"CGST Commissionerate, Hyderabad",Hyderabad Zone,HITEC City|Gachibowli|Jubilee Hills|Secunderabad|Begumpet|Kukatpally|Uppal Industrial Area|Shamshabad,"IT and pharma (HITEC City, Genome Valley)|Biryani and food industry|Pearl trade and jewellery|Real estate|Airport-linked businesses (Shamshabad)","Hyderabad is India's fastest-growing major city — a dual hub for IT services and pharmaceuticals, with rapid expansion in HITEC City and Genome Valley.",Warangal|Vijayawada|Visakhapatnam|Bengaluru,"Hyderabad sees strong demand for company incorporation in pharma, biotech, IT services, and real estate — with increasing foreign investment in HITEC City.",Hyderabad's pharma cluster requires careful GST classification — many APIs and formulations attract different rates. IT firms need export compliance and LUT filing.
Kolkata,West Bengal,IN-WB,kolkata,"CGST Commissionerate, Kolkata",Kolkata Zone,Park Street|Salt Lake (Bidhannagar)|New Town Rajarhat|Burrabazar|Howrah Industrial Area|Sector V IT Hub|Esplanade|Dalhousie,"Jute and textiles|Engineering and steel fabrication|Wholesale trading (Burrabazar)|IT services (Salt Lake, New Town)|Jewellery and gold (Bowbazar)",Eastern India's largest commercial city and gateway to Northeast India — Kolkata has a dominant wholesale trading ecosystem and a growing IT corridor in Salt Lake.,Howrah|Durgapur|Siliguri|Bhubaneswar,"Kolkata is the ROC jurisdiction for West Bengal. It sees strong demand for company incorporation in trading, jute, engineering, and IT — with significant partnership firm conversions.",Kolkata's wholesale markets like Burrabazar require careful multi-GST-registration planning. Jute and certain textile products have specific GST rate considerations.
Pune,Maharashtra,IN-MH,pune,"CGST Commissionerate, Pune",Pune Zone,Hinjewadi IT Park|Kharadi|Viman Nagar|Pimpri-Chinchwad (PCMC)|Hadapsar|Shivajinagar|Baner|Magarpatta,"IT and software (Hinjewadi, Kharadi)|Automobile manufacturing (Pimpri-Chinchwad)|Education and edtech|Defence production (DRDO)|FMCG and consumer goods","Maharashtra's second largest city — a thriving IT hub and automobile manufacturing centre, with Pimpri-Chinchwad hosting India's largest concentration of auto plants.",Mumbai|Nashik|Aurangabad|Kolhapur,"Pune has one of Maharashtra's highest company incorporation rates, driven by IT startups, auto ancillary companies, and education technology ventures.",Pune's auto sector involves multi-tier supply chain GST compliance. IT companies in Hinjewadi need regular LUT filing and export refund management.
Ahmedabad,Gujarat,IN-GJ,ahmedabad,"CGST Commissionerate, Ahmedabad",Ahmedabad Zone,CG Road|SG Highway|Naroda GIDC|Vatva GIDC|Sindhu Bhavan Road|GIFT City|Odhav|Bopal,"Textiles and chemicals (Naroda, Vatva)|Diamond cutting and polishing|GIFT City financial services|Pharmaceuticals|Food processing and FMCG","Gujarat's largest city and India's first World Heritage City — Ahmedabad is a powerhouse of textiles, chemicals, and GIFT City's international financial services.",Surat|Gandhinagar|Vadodara|Rajkot,"Ahmedabad's GIFT City offers a unique IFSC regulatory framework. Most businesses here incorporate under Gujarat ROC, with strong demand from textile and chemical exporters.",Ahmedabad's textile and chemical clusters require careful HSN classification and ITC management. GIFT City entities have special GST exemptions that need expert navigation.
Noida,Uttar Pradesh,IN-UP,noida,"CGST Commissionerate, Noida",Meerut Zone,Sector 62 and 63 (IT Parks)|Sector 18 (Atta Market)|Sector 44|Film City (Sector 16A)|Noida Phase 1-3 (Industrial)|Greater Noida|Noida Extension,"IT and software services (Sector 62, 63)|E-commerce and D2C brands|Manufacturing (Phases 1, 2, 3)|Media and entertainment (Film City)|Real estate and construction","Gautam Buddha Nagar's commercial heart — Noida is Delhi NCR's largest IT and e-commerce hub, with a thriving manufacturing belt and India's biggest media production cluster.",Greater Noida|Delhi|Ghaziabad|Agra,"Noida falls under the UP ROC (Kanpur). Startups, IT companies, and e-commerce brands incorporate here in high numbers — often requiring DPIIT recognition and ESOP structuring.",Noida's IT sector needs mandatory LUT filing for service exports. E-commerce sellers must register regardless of turnover. Film production companies need input service credit management.
Gurugram,Haryana,IN-HR,gurugram,"CGST Commissionerate, Gurugram",Panchkula Zone,Cyber City (DLF Cyber Hub)|Golf Course Road|Sohna Road|Manesar IMT|MG Road|Udyog Vihar|Sector 29|NH-48 Corridor,IT and BPO (Cyber City)|Automobile manufacturing (Manesar — Maruti Suzuki)|Financial services and fintech|Luxury retail and hospitality|Real estate,The Millennium City — Gurugram hosts India's largest concentration of Fortune 500 company offices and is a global BPO and financial services hub alongside Manesar's auto belt.,Delhi|Faridabad|Rewari|Noida,"Gurugram falls under Haryana ROC (Chandigarh). High demand for company incorporation from MNC subsidiaries, BPO companies, fintech startups, and auto ancillary units in Manesar.",Gurugram's BPO and IT services sector has significant cross-border service compliance needs. MNC subsidiaries and holding companies require careful inter-company transaction planning.
